ID;Nombre;Proveedor;LeadTime;Precio
1;Smartphone Vintage V2;Comercializadora Omega;20;723.93
2;Mesa Advanced Negro;Global Imports Corp;5;355.01
3;Gorra Premium Z3;Hogar y Confort Ltda.;12;13.06
4;Termo Ergonómico Azul;Hogar y Confort Ltda.;12;25.93
5;Televisor Advanced X1;Distribución Express;3;521.45
6;Camiseta Eco Gold;Alimentos y Logística del Sur;15;41.24
7;Cafetera Ultra Red;Distribución Express;3;163.36
8;Zapatillas Premium V2;TechDistribuidora S.A.;14;55.6
9;Mouse Advanced Azul;MegaAbasto Co.;25;64.3
10;Mouse Plus Silver;TechDistribuidora S.A.;14;36.3
11;Mouse Eco X1;Textiles del Norte;10;37.17
12;Zapatillas Vintage Blanco;Comercializadora Omega;20;51.84
13;Cargador Inalámbrico Gold;Comercializadora Omega;20;14.99
14;Mouse Advanced X1;Suministros Industriales Alfa;7;26.52
15;Silla Modern Gold;Hogar y Confort Ltda.;12;90.08
16;Smartphone Pro V2;Distribución Express;3;1065.15
17;Mochila Portátil V2;Suministros Industriales Alfa;7;34.62
18;Chaqueta Max Gris;MegaAbasto Co.;25;176.06
19;Termo Ergonómico Azul;Hogar y Confort Ltda.;12;18.85
20;Camiseta Premium Blanco;Suministros Industriales Alfa;7;29.07
21;Smartphone Ergonómico Blanco;Distribución Express;3;776.53
22;Camiseta Eco Z3;Comercializadora Omega;20;48.38
23;Gorra Premium Blanco;Distribución Express;3;12.53
24;Monitor Basic Gris;MegaAbasto Co.;25;153.29
25;Mochila Eco Blanco;Alimentos y Logística del Sur;15;33.87
26;Auriculares Pro Blanco;Alimentos y Logística del Sur;15;87.95
27;Cafetera Pro Blanco;Global Imports Corp;5;56.68
28;Teclado Pro V2;Suministros Industriales Alfa;7;84.94
29;Chaqueta Max Blanco;Hogar y Confort Ltda.;12;138.18
30;Cafetera Advanced Azul;Textiles del Norte;10;182.12
31;Monitor Eco V2;Global Imports Corp;5;381.39
32;Lámpara Advanced Blanco;Suministros Industriales Alfa;7;30.76
33;Termo Ultra V2;Distribución Express;3;30.92
34;Laptop Basic Gold;Soluciones Tecnológicas Nova;8;1827.01
35;Lámpara Inalámbrico Blanco;TechDistribuidora S.A.;14;70.16
36;Mouse Plus Z3;Hogar y Confort Ltda.;12;37.42
37;Mesa Eco Silver;Textiles del Norte;10;329.52
38;Reloj Ergonómico Azul;Distribución Express;3;161.01
39;Silla Modern Gold;Textiles del Norte;10;144.91
40;Camiseta Vintage Blanco;Suministros Industriales Alfa;7;46.9
41;Licuadora Eco Gris;Global Imports Corp;5;74.94
42;Monitor Ergonómico Z3;Global Imports Corp;5;341.67
43;Auriculares Inalámbrico Blanco;Comercializadora Omega;20;45.35
44;Chaqueta Plus V2;Comercializadora Omega;20;58.22
45;Mochila Vintage Red;Hogar y Confort Ltda.;12;60.75
46;Teclado Modern Azul;Global Imports Corp;5;52.18
47;Mesa Pro X1;Textiles del Norte;10;197.74
